"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,AK,Total Electric Power Industry,Total,"518,991"
2016,1,AK,Total Electric Power Industry,Coal,"66,898"
2016,1,AK,Total Electric Power Industry,Hydroelectric Conventional,"136,906"
2016,1,AK,Total Electric Power Industry,Natural Gas,"222,678"
2016,1,AK,Total Electric Power Industry,Other,58
2016,1,AK,Total Electric Power Industry,Petroleum,"72,381"
2016,1,AK,Total Electric Power Industry,Other Biomass,"4,962"
2016,1,AK,Total Electric Power Industry,Wind,"15,107"
2016,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2016,1,AK,"Combined Heat and Power, Industrial Power",Total,"12,006"
2016,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,"6,822"
2016,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,"4,506"
2016,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,677
2016,1,AK,"Combined Heat and Power, Commercial Power",Total,"15,273"
2016,1,AK,"Combined Heat and Power, Commercial Power",Coal,"10,554"
2016,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,70
2016,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,364
2016,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,"4,285"
2016,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2016,1,AK,"Combined Heat and Power, Electric Power",Total,"17,362"
2016,1,AK,"Combined Heat and Power, Electric Power",Coal,"17,362"
2016,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2016,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2016,1,AK,"Electric Generators, Independent Power Producers",Total,"5,135"
2016,1,AK,"Electric Generators, Independent Power Producers",Wind,"5,135"
2016,1,AK,"Electric Generators, Electric Utilities",Total,"469,215"
2016,1,AK,"Electric Generators, Electric Utilities",Coal,"38,982"
2016,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,"136,906"
2016,1,AK,"Electric Generators, Electric Utilities",Natural Gas,"215,786"
2016,1,AK,"Electric Generators, Electric Utilities",Other,58
2016,1,AK,"Electric Generators, Electric Utilities",Petroleum,"67,510"
2016,1,AK,"Electric Generators, Electric Utilities",Wind,"9,973"
2016,1,AL,Total Electric Power Industry,Total,"12,955,794"
2016,1,AL,Total Electric Power Industry,Coal,"2,466,204"
2016,1,AL,Total Electric Power Industry,Hydroelectric Conventional,"1,709,727"
2016,1,AL,Total Electric Power Industry,Natural Gas,"4,803,742"
2016,1,AL,Total Electric Power Industry,Nuclear,"3,688,710"
2016,1,AL,Total Electric Power Industry,Other Gases,"3,339"
2016,1,AL,Total Electric Power Industry,Other,0
2016,1,AL,Total Electric Power Industry,Petroleum,"11,375"
2016,1,AL,Total Electric Power Industry,Other Biomass,"3,963"
