"U.S. Department of Energy, The Energy Information Administration (EIA)",,,,,
"Monthly Generation Data by State, Producer Sector and Energy Source; Months Through December 2016",,,,,
Sources: EIA-923 Report,,,,,
,,,,,
YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2016,1,AK,Total Electric Power Industry,Total,518991
2016,1,AK,Total Electric Power Industry,Coal,66898
2016,1,AK,Total Electric Power Industry,Hydroelectric Conventional,136906
2016,1,AK,Total Electric Power Industry,Natural Gas,222678
2016,1,AK,Total Electric Power Industry,Other,58
2016,1,AK,Total Electric Power Industry,Petroleum,72381
2016,1,AK,Total Electric Power Industry,Other Biomass,4962
2016,1,AK,Total Electric Power Industry,Wind,15107
2016,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2016,1,AK,"Combined Heat and Power, Industrial Power",Total,12006
2016,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,6822
2016,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,4506
2016,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,677
2016,1,AK,"Combined Heat and Power, Commercial Power",Total,15273
2016,1,AK,"Combined Heat and Power, Commercial Power",Coal,10554
2016,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,70
2016,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,364
2016,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,4285
2016,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2016,1,AK,"Combined Heat and Power, Electric Power",Total,17362
2016,1,AK,"Combined Heat and Power, Electric Power",Coal,17362
2016,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2016,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2016,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2016,1,AK,"Electric Generators, Independent Power Producers",Total,5135
2016,1,AK,"Electric Generators, Independent Power Producers",Wind,5135
2016,1,AK,"Electric Generators, Electric Utilities",Total,469215
2016,1,AK,"Electric Generators, Electric Utilities",Coal,38982
2016,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,136906
2016,1,AK,"Electric Generators, Electric Utilities",Natural Gas,215786
2016,1,AK,"Electric Generators, Electric Utilities",Other,58
2016,1,AK,"Electric Generators, Electric Utilities",Petroleum,67510
2016,1,AK,"Electric Generators, Electric Utilities",Wind,9973
2016,1,AL,Total Electric Power Industry,Total,12955794
2016,1,AL,Total Electric Power Industry,Coal,2466204
2016,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1709727
2016,1,AL,Total Electric Power Industry,Natural Gas,4803742
2016,1,AL,Total Electric Power Industry,Nuclear,3688710
2016,1,AL,Total Electric Power Industry,Other Gases,3339
2016,1,AL,Total Electric Power Industry,Other,0
2016,1,AL,Total Electric Power Industry,Petroleum,11375
2016,1,AL,Total Electric Power Industry,Other Biomass,3963
2016,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,268734
2016,1,AL,"Combined Heat and Power, Industrial Power",Total,363110
2016,1,AL,"Combined Heat and Power, Industrial Power",Coal,9438
